genre_id,genre
674,Banned Books
675,Manga Romance
676,Aeroplanes
677,Oral History
678,Comic Strips
679,Sports Romance
680,Ukraine
681,Forgotten Realms
682,Prayer
683,Loveswept
684,Journal
685,Native Americans
686,New Testament
687,Tanzania
688,American
689,Fat
690,Elizabethan Period
691,World Of Warcraft
692,Cultural Heritage
693,Historical Fiction
694,Pop Culture
695,Yaoi
696,Short Story Collection
697,Biology
698,Young Adult Paranormal
699,Finance
700,2nd Grade
701,Anti Racist
702,Menage
703,Female Authors
704,Travelogue
705,Young Adult Science Fiction
706,Religion
707,Fractured Fairy Tales
708,Biography Memoir
709,Back To School
710,Interracial Romance
711,Leadership
712,Vaccines
713,Indian Literature
714,Music Biography
715,Diary
716,Polyamorous
717,Lie
718,M M Historical Romance
719,Harlequin Romance
720,Health
721,Time Travel
722,Unfinished
723,Folklore
724,Fitness
725,Christian Fantasy
726,Food Preservation
727,Puzzles
728,Serbian Literature
729,Ireland
730,Emotion
731,Swedish Literature
732,Cultural Studies
733,Russia
734,Taxation
735,Books About Books
736,Gothic Horror
737,Iran
738,Egyptian Literature
739,Zambia
740,Pulp
741,Gamebooks
742,Northern Africa
743,Marathi
744,Engineering
745,History Of Medicine
746,Native American History
747,Role Playing Games
748,Geek
749,Time Travel Romance
750,Bulgaria
751,Christianity
752,Nonfiction
753,Italy
754,Divination
755,Football
756,Fiction
757,Contemporary
758,Zen
759,NSFW
760,Womens
761,Star Trek Voyager
762,Money Management
763,Slice Of Life
764,Helicopters
765,Harlequin Blaze
766,Epic Fantasy
767,Heroic Fantasy
768,Traditional Chinese Medicine
769,Amish Fiction
770,Marvel
771,Book Club
772,Boys Love
773,Christian
774,Church History
775,Turkish
776,Young Adult Fantasy
777,Mermaids
778,Plantagenet
779,Hard Science Fiction
780,Regency
781,Queer Studies
782,Semiotics
783,Trivia
784,Australia
785,Writing
786,Somalia
787,Aviation
788,Hungary
789,Tea
790,Ethnography
791,Astronomy
792,Literary Criticism
793,The United States Of America
794,Edwardian
795,Cars
796,Cult Classics
797,Outdoors
798,Aspergers
799,Far Right
800,Czech Literature
801,Morocco
802,Death
803,Halloween
804,Young Adult Historical Fiction
805,Asia
806,New Weird
807,Discipleship
808,Polyamory
809,Dark
810,18th Century
811,Gods
812,Natural History
813,Naval Historical Fiction
814,United States
815,Sociology
816,Crime
817,Light Novel
818,Mystery
819,Banks
820,Ancient
821,Chinese Literature
822,Green
823,Nature
824,Medicine
825,God
826,Mormonism
827,Vegetarianism
828,Paganism
829,Young Adult Contemporary
830,Paranormal Romance
831,Bicycles
832,Sword and Sorcery
833,M M Contemporary
834,Alternative Medicine
835,Scotland
836,Albanian Literature
837,Social Change
838,Gender Studies
839,Spanish Civil War
840,Victorian Romance
841,Museums
842,Muslims
843,Computer Science
844,Modern
845,Teaching
846,Productivity
847,Parenting
848,Ecology
849,Jewellery
850,Holocaust
851,Singularity
852,Beauty and The Beast
853,Spy Thriller
854,Biography
855,Comic Book
856,Buisness
857,Foodie
858,Josei
859,Urban Studies
860,Benin
861,Stories
862,Food
863,Rwanda
864,Art History
865,Sexuality
866,Mystery Thriller
867,Drawing
868,Ecclesiology
869,Urban
870,Ivory Coast
871,Royal Air Force
872,Counting
873,Emergency Services
874,Mali
875,Programming
876,Brain
877,Doctors
878,Kids
879,Fairy Tales
880,Canadian Literature
881,Geography
882,Poverty
883,Mine
884,Foster Parents
885,Conspiracy Theories
886,Cthulhu Mythos
887,Family
888,Pirates
889,New Adult Romance
890,How To
891,Relationships
892,Magical Realism
893,Road Trip
894,Kazakhstan
895,Racing
896,Poetry Plays
897,Egypt
898,Star Trek Deep Space Nine
899,Novels
900,Field Guides
901,Space
902,Guides
903,True Story
904,Artificial Intelligence
905,Queer
906,Counselling
907,Chapter Books
908,Students
909,Academics
910,Motorcycling
911,Hockey
912,Mathematics
913,Sword and Planet
914,Faith
915,Teen
916,Climate Change Fiction
917,Architecture
918,Jazz
919,Childrens
920,High School
921,Global Warming
922,Komik
923,Canon
924,Illness
925,Vegetarian
926,Information Science
927,Urban Fantasy
928,Counter Culture
929,Mysticism
930,Malawi
931,Aircraft
932,Hqn
933,Sweden
934,Goddess
935,Spider Man
936,Greek Mythology
937,True Crime
938,Harlequin Presents
939,Electrical Engineering
940,History Of Science
941,Russian History
942,Dungeons and Dragons
943,Street Art
944,Psychiatry
945,Drinking
946,Picture Books
947,Theatre
948,Prehistoric
949,Theory
950,Feminism
951,Reverse Harem
952,Roman
953,Agriculture
954,Cross Dressing
955,Georgian
956,Social
957,Finnish Literature
958,Journaling
959,Folk Tales
960,Wonder Woman
961,Seinen
962,Transport
963,Beer
964,Graphic Novels
965,Academia
966,Battle Of Britain
967,Legal Thriller
968,Yeti
969,Love Inspired
970,Words
971,Firefighters
972,Anglo Saxon
973,Islam
974,Physics
975,Psychoanalysis
976,Russian Literature
977,Numerology
978,Hackers
979,Christian Non Fiction
980,Art
981,Society
